Input Word	Returned root	Expected root: 	Returned_root_BIRS: 
অশ্বত্থদের,		অশ্বত্থ		অশ্বত্থ		অশ্ব
অশ্বত্থবৃন্দ		অশ্বত্থ		অশ্বত্থ		অশ্ব
অশ্বত্থকে,		অশ্বত্থ		অশ্বত্থ		অশ্ব
অশ্বত্থর,		অশ্বত্থ		অশ্বত্থ		অশ্ব
অশ্বত্থের,		অশ্বত্থ		অশ্বত্থ		অশ্ব
অশ্বত্থতে,		অশ্বত্থ		অশ্বত্থ		অশ্ব
অশ্বত্থে		অশ্বত্থ		অশ্বত্থ		অশ্ব
অশ্বত্থই,		অশ্বত্থ		অশ্বত্থ		অশ্ব
অশ্বত্থও		অশ্বত্থ		অশ্বত্থ		অশ্ব
অশ্বিনীগুলো,	অশ্বিনীকুমার		অশ্বিনী		অশ্ব
অশ্বিনীটা,		অশ্বিনী		অশ্বিনী		অশ্ব
অশ্বিনীটি,		অশ্বিনী		অশ্বিনী		অশ্ব
অশ্বিনীখানা,		অশ্বিনীকুমার		অশ্বিনী		অশ্ব
অশ্বিনীদের,		অশ্বিনী		অশ্বিনী		অশ্ব
অশ্বিনীবৃন্দ		অশ্বিনী		অশ্বিনী		অশ্ব
অশ্বিনীকে,		অশ্বিনী		অশ্বিনী		অশ্ব
অশ্বিনীর,		অশ্বিনী		অশ্বিনী		অশ্ব
অশ্বিনীের,		অশ্বিনী		অশ্বিনী		অশ্ব
অশ্বিনীতে,		অশ্বিনী		অশ্বিনী		অশ্ব
অশ্বিনীে		অশ্বিনী		অশ্বিনী		অশ্ব
অশ্বিনীই,		অশ্বিনী		অশ্বিনী		অশ্ব
অশ্বিনীও		অশ্বিনী		অশ্বিনী		অশ্ব
অস্মিতাগুলো,	অস্মিতা		অস্মিতা		অস্মিতাগুলো,
অস্মিতাটা,		অস্মিতা		অস্মিতা		অস্মিতাটা,
অস্মিতাটি,		অস্মিতা		অস্মিতা		অস্মিতাটি,
অস্মিতাখানা,		অস্মিতা		অস্মিতা		অস্মিতাখানা,
অস্মিতাদের,		অস্মিতা		অস্মিতা		অস্মিতাদের,
অস্মিতাবৃন্দ		অস্মিতা		অস্মিতা		অস্মিতাবৃন্দ
অস্মিতাকে,		অস্মিতা		অস্মিতা		অস্মিতাকে,
অস্মিতার,		অস্মিতা		অস্মিতা		অস্থির
অস্মিতাের,		অস্মিতা		অস্মিতা		অস্থির
অস্মিতাতে,		অস্মিতা		অস্মিতা		অস্মিতাতে,
অস্মিতাে		অস্মিতা		অস্মিতা		অস্থির
অস্মিতাই,		অস্মিতা		অস্মিতা		অস্মিতাই,
অস্মিতাও		অস্মিতা		অস্মিতা		অস্থির
গণিতগুলো,		গণিতগুলো,		গণিত		গণিত
গণিতটা,		গণিকা		গণিত		গণিত
গণিতটি,		গণিত		গণিত		গণিত
গণিতখানা,		গোসলখানা		গণিত		গণিত
গণিতদের,		গণিত		গণিত		গণিত
গণিতবৃন্দ		গণিত		গণিত		গণিত
গণিতকে,		গণিকা		গণিত		গণিত
গণিতর,		গণিত		গণিত		গণিত
গণিতের,		গণিত		গণিত		গণিত
গণিততে,		গণিত		গণিত		গণিত
গণিতে		গণিত		গণিত		গণিত
গণিতই,		গণিত		গণিত		গণিত
গণিতও		গণিত		গণিত		গণিত
গণেশগুলো,		গণেশগুলো,		গণেশ		গণেশ
গণেশটা,		গণেশ		গণেশ		গণেশ
গণেশটি,		গণেশ		গণেশ		গণেশ
গণেশখানা,		জেলখানার		গণেশ		গণেশ
গণেশদের,		গণেশ		গণেশ		গণেশ
গণেশবৃন্দ		গণেশ		গণেশ		গণেশ
গণেশকে,		গণেশ		গণেশ		গণেশ
গণেশর,		গণেশ		গণেশ		গণেশ
গণেশের,		গণেশ		গণেশ		গণেশ
গণেশতে,		গণেশ		গণেশ		গণেশ
গণেশে		গণেশ		গণেশ		গণেশ
গণেশই,		গণেশ		গণেশ		গণেশ
গণেশও		গণেশ		গণেশ		গণেশ
গাঙ্গুলিগুলো,		গাঙ্গুলি		গাঙ্গুলি		গাঙ্গুলিগুলো,
গাঙ্গুলিটা,		গাঙ্গুলি		গাঙ্গুলি		গাঙ
গাঙ্গুলিটি,		গাঙ্গুলি		গাঙ্গুলি		গাঙ
গাঙ্গুলিখানা,		গাঙ্গুলি		গাঙ্গুলি		গাঙ্গুলিখানা,
গাঙ্গুলিদের,		গাঙ্গুলি		গাঙ্গুলি		গাঙ
গাঙ্গুলিবৃন্দ		গাঙ্গুলি		গাঙ্গুলি		গাঙ
গাঙ্গুলিকে,		গাঙ্গুলি		গাঙ্গুলি		গাঙ
গাঙ্গুলির,		গাঙ্গুলি		গাঙ্গুলি		গাঙ
গাঙ্গুলিের,		গাঙ্গুলি		গাঙ্গুলি		গাঙ
গাঙ্গুলিতে,		গাঙ্গুলি		গাঙ্গুলি		গাঙ
গাঙ্গুলিে		গাঙ্গুলি		গাঙ্গুলি		গাঙ
গাঙ্গুলিই,		গাঙ্গুলি		গাঙ্গুলি		গাঙ
গাঙ্গুলিও		গাঙ্গুলি		গাঙ্গুলি		গাঙ
গুজরাতগুলো,	গুজরানো		গুজরাত		গুজরাতগুলো,
গুজরাতটা,		গুজরাত		গুজরাত		গুজরাট
গুজরাতটি,		গুজরাটি		গুজরাত		গুজরাট
গুজরাতখানা,	গুজরানো		গুজরাত		গুজরাতখানা,
গুজরাতদের,		গুজরাত		গুজরাত		গুজরাট
গুজরাতবৃন্দ		গুজরাত		গুজরাত		গুজরাতবৃন্দ
গুজরাতকে,		গুজরাত		গুজরাত		গুজরাট
গুজরাতর,		গুজরাত		গুজরাত		গুজরাট
গুজরাতের,		গুজরাত		গুজরাত		গুজরাট
গুজরাততে,		গুজরাত		গুজরাত		গুজরাট
গুজরাতে		গুজরাত		গুজরাত		গুজরাট
গুজরাতই,		গুজরাত		গুজরাত		গুজরাট
গুজরাতও		গুজরাত		গুজরাত		গুজরাট
চট্টোপাধ্যায়গুলো,	চট্টোপাধ্যায়		চট্টোপাধ্যায়		চট্টোপাধ্যায়গুলো,
চট্টোপাধ্যায়টা,	চট্টোপাধ্যায়		চট্টোপাধ্যায়		চট্টোপাধ্যায়টা,
চট্টোপাধ্যায়টি,	চট্টোপাধ্যায়		চট্টোপাধ্যায়		চট্টোপাধ্যায়টি,
চট্টোপাধ্যায়খানা,	চট্টোপাধ্যায়		চট্টোপাধ্যায়		চট্টোপাধ্যায়খানা,
চট্টোপাধ্যায়দের,	চট্টোপাধ্যায়		চট্টোপাধ্যায়		চট্টোপাধ্যায়দের,
চট্টোপাধ্যায়বৃন্দ	চট্টোপাধ্যায়		চট্টোপাধ্যায়		চট্টোপাধ্যায়বৃন্দ
চট্টোপাধ্যায়কে,	চট্টোপাধ্যায়		চট্টোপাধ্যায়		চট্টোপাধ্যায়কে,
চট্টোপাধ্যায়র,	চট্টোপাধ্যায়		চট্টোপাধ্যায়		চট্টোপাধ্যায়র,
চট্টোপাধ্যায়ের,	চট্টোপাধ্যায়		চট্টোপাধ্যায়		চট্টোপাধ্যায়ের,
চট্টোপাধ্যায়তে,	চট্টোপাধ্যায়		চট্টোপাধ্যায়		চট্টোপাধ্যায়তে,
চট্টোপাধ্যায়ে		চট্টোপাধ্যায়		চট্টোপাধ্যায়		চট্টোপাধ্যায়ে
চট্টোপাধ্যায়ই,	চট্টোপাধ্যায়		চট্টোপাধ্যায়		চট্টোপাধ্যায়ই,
চট্টোপাধ্যায়ও		চট্টোপাধ্যায়		চট্টোপাধ্যায়		চট্টোপাধ্যায়ও
